Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 1;6/25/2020;background;#N/A;1;5.6002569;64.7501;26.3126;12.9725;8.9677;116.668;10.3278;2.639;17.3617;27.2127;17.7834;0.2318;0.3106;15.550482;16.5586;2.4273;11.5374;50.2556;4.9693;0.7232;2.6046;2.1763;2.2504;9.8323;1.4903;0;0.5716;0.37481344
Background 1;6/25/2020;background;#N/A;1;1.3962933;79.4815;26.2118;12.264;4.8018;108.5851;15.9822;0.9897;14.7375;26.7843;12.5002;1.5918;1.253;0;12.8951;3.489;10.702;59.2636;3.4618;0.1345;2.2195;2.2114;1.3795;14.3335;0.3329;0.0326581;1.5031;1.012924
Background 1;6/25/2020;background;#N/A;1;4.4648376;78.364;19.2134;21.9593;7.4322;112.4716;15.2831;1.9569;12.8265;27.9905;17.1365;0.8781;1.0608;14.158007;17.1781;5.6623;12.007;51.9841;2.2504;1.7662;0.4495;4.9955;1.0966;5.8339;0.9528;0;1.0151;0.93487543
Background 1;6/25/2020;background;#N/A;1;2.7124734;72.7082;32.1722;25.2589;8.8521;138.5425;5.3704;0.8282;14.3531;21.0371;17.2052;3.5651;0.9926;10.037721;28.6064;3.7597;11.2749;45.0071;3.6506;0.0718;3.1049;3.6705;1.8691;4.6688;2.5027;0;3.1399;1.2652246
Background 1;6/25/2020;background;#N/A;1;5.5987053;87.5367;27.8974;41.1871;7.6332;90.3311;18.402;2.2883;39.0503;26.962;15.5082;3.8936;0.4615;9.5733976;42.395;5.0804;13.2597;55.5289;4.0866;1.5117;4.7609;4.1296;1.802;1.679;2.6139;0.38065094;1.6395;0.53628665
Background 1;6/25/2020;background;#N/A;1;2.3498998;80.0763;19.1086;44.9681;12.604;114.6338;20.2957;2.9185;36.502;25.8089;19.0003;6.5475;0.5212;7.0159259;40.87;5.1486;11.8049;50.392;4.2334;1.37;4.3311;3.7598;0.7068;5.2272;0.398;0.30763534;2.4834;1.5487885
Background 1;6/25/2020;background;#N/A;1;2.7144175;86.7352;26.6652;62.2378;10.8328;115.202;19.9396;2.7836;42.9024;29.309;18.8857;3.9077;0.8604;13.760869;33.4124;2.0654;10.5803;50.3624;7.9697;1.9748;5.9392;6.0854;1.4577;5.3636;1.1592;0.50008065;0.7206;0.9359073
Background 1;6/25/2020;background;#N/A;1;5.224905;150.5879;48.7601;158.2282;15.2218;223.3379;82.0194;4.2536;127.0204;36.6256;32.4781;8.1121;2.4576;50.825897;85.6302;7.2792;8.8113;49.834;4.4621;5.5741;2.0018;3.8488;1.4357;9.8987;6.3207;0;2.2419;1.9738736
Background 1;6/25/2020;background;#N/A;1;4.7279425;199.0696;97.9417;285.5948;22.7;317.8204;191.812;7.8499;206.9611;50.706;66.3645;17.78;0.1197;60.883331;216.7942;9.689;12.1408;45.9732;19.1547;5.9166;3.7767;6.0067;3.8739;2.957;5.2291;0.38533705;1.6;0.62622988
Background 1;6/25/2020;background;#N/A;1;1.6289861;203.8096;118.3844;382.8063;27.4521;304.8108;264.4618;13.8042;204.0102;72.7715;58.6498;22.4999;0.1316;43.224293;224.1883;5.4777;18.9283;49.7837;29.7531;9.0931;5.5729;4.8689;3.0157;8.9407;3.9473;1.4278727;5.1943;0.65682298
Background 1;6/25/2020;background;#N/A;1;5.5492983;209.2724;137.0392;412.4362;37.0051;307.2602;358.2082;11.4038;243.2806;68.1352;51.4608;18.2497;0.0131;73.985352;288.4062;11.8654;18.7099;70.7153;28.5356;10.2832;2.1027;5.5482;3.3628;6.9979;5.8946;1.8726226;2.2079;0.050638422
