sample,treatment,E-2-hexenal,"3-Hexen-1-ol, (Z)-",Heptanal,?-Myrcene,Octanal,Z-3-Hexenyl acetate,D-Limonene,Linalool ,Nonanal,DMNT,Phenyl-methyl Acetate,Decanal,indole ,Methyl anthranilate,cycloisosativene,Ylangene,geranyl acetate,BETA-Caryophyllene,BETA-Bergamotene ,(E)-BETA-farnesene,.beta.-Bisabolene,?-Cadinene,nerolidol,TMTT
1,control,0,0,0,0,0,0,0,0,0,0,0,0,345.9511497,0,0,0,0,0,0,0,0,0,0,0
2,control,0,0,0,0,0,0,0,0,0,0,0,0,60.43897867,0,0,0,0,0,0,0,0,0,0,0
3,control,0,0,0,0,0,0,0,0,0,0,0,0,124.8286304,0,0,0,0,0,0,0,0,0,0,0
4,control,0,0,0,0,0,0,0,0,0,0,0,0,124.7503734,0,0,0,0,0,0,0,0,0,0,0
5,control,0,0,0,0,0,0,0,0,0,0,0,0,51.93775628,0,0,0,0,0,0,0,0,0,0,0
6,control,0,0,0,0,0,0,0,0,0,0,0,0,33.75255588,0,0,0,0,0,0,0,0,0,0,0
7,control,0,0,0,0,0,0,0,0,0,0,0,0,128.0256872,0,0,0,0,0,0,0,0,0,0,0
8,control,0,0,0,0,0,0,0,0,0,0,0,0,145.0812312,0,0,0,0,0,0,0,0,0,0,0
9,SF,0,0,0,0,0,249.2606832,0,972.5001892,0,1514.11989,35.33678282,0,836.910537,0,36.84033408,28.18395437,0,1293.089141,1317.783272,7886.678232,84.1703968,0,77.25225721,181.0381562
10,SF,0,0,0,0,0,270.0293197,0,264.2212664,0,794.8957653,9.429628589,0,420.1752821,0,77.47648999,60.33266721,0,351.6467786,265.0872756,1523.533076,29.84800158,0,23.62206464,96.95834028
12,SF,0,0,0,0,0,67.67281165,0,332.4289728,0,1029.976513,16.1420866,0,891.8301517,0,22.68054627,17.26212038,0,132.1626734,174.2777993,949.0825202,0,0,0,23.13415124
13,SF,0,0,0,0,0,41.38795208,0,122.9074178,0,319.4269191,16.84133894,0,120.8027065,0,23.04685268,15.44504973,0,23.22733817,17.35861355,95.62281229,0,0,0,0
