treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
Control,-31.453,-31.449,-31.4475,-31.4454,-31.4439,-31.4425,-31.4423,-31.4416,43.0671,43.0826,43.098,43.1083,43.1178,43.124,43.1302,43.1346,43.1398,42.3879,42.4424,42.4801,42.5088,42.532,42.5492,42.5614,42.5723,42.5794,23.8473,23.8525,23.8541,23.8535,23.8555,23.8566,23.8574,23.8579,23.8569,19.9011,19.9163,19.9275,19.9325,19.9367,19.9443,19.9446,19.9499,19.9449,30.792,30.7957,30.8036,30.8065,30.8087,30.8085,30.8091,30.808,30.8089,-28.9299,-28.8212,-28.7442,-28.6818,-28.6325,-28.5907,-28.5602,-28.5339,-28.5009,5.216,6.3553,7.0178,7.4699,7.7693,7.9548,8.0723,8.158,8.2262,32.0974,32.2059,32.273,32.3215,32.3592,32.3844,32.4022,32.4153,32.4267,22.141,22.3932,22.5666,22.7013,22.8033,22.8778,22.93,22.9684,22.9965
Control,-32.7342,-32.7322,-32.7286,-32.7266,-32.7253,-32.7234,-32.7214,-32.7217,43.1855,43.1985,43.2105,43.2188,43.2267,43.2337,43.2372,43.2414,43.2443,43.4555,43.4927,43.5199,43.5428,43.5612,43.5766,43.5878,43.5965,43.6037,22.2542,22.2576,22.2601,22.2632,22.2656,22.2673,22.2686,22.2686,22.2694,18.1138,18.1253,18.1349,18.1448,18.1505,18.1572,18.163,18.1647,18.1637,30.461,30.4688,30.4698,30.4739,30.4788,30.481,30.4815,30.4812,30.4833,-26.8126,-26.734,-26.6757,-26.6229,-26.5765,-26.5352,-26.5043,-26.4724,-26.4481,27.3034,28.5682,29.2176,29.7435,30.123,30.3872,30.57,30.7048,30.81,32.7799,32.866,32.918,32.9636,32.9981,33.0249,33.0441,33.0576,33.0681,23.8896,24.0611,24.2018,24.3233,24.4237,24.5063,24.5704,24.6217,24.6625
Control,-31.8092,-31.806,-31.8056,-31.8033,-31.8023,-31.7995,-31.8005,-31.7994,43.0728,43.0797,43.0847,43.0884,43.0942,43.1,43.1026,43.1043,43.1069,42.5815,42.5989,42.6108,42.6245,42.6392,42.6521,42.6594,42.6641,42.6691,23.4313,23.433,23.4326,23.4333,23.4366,23.4378,23.4378,23.4379,23.437,19.45,19.457,19.4557,19.4602,19.4653,19.4691,19.4732,19.4715,19.4707,30.7012,30.7067,30.7046,30.7062,30.7087,30.7114,30.7127,30.7111,30.7106,-28.8408,-28.8062,-28.7862,-28.7498,-28.7216,-28.6961,-28.6814,-28.6586,-28.6466,7.0798,7.545,7.819,8.1666,8.449,8.6309,8.736,8.8138,8.8948,32.0061,32.0459,32.0684,32.0995,32.1274,32.1496,32.161,32.1684,32.1777,21.2583,21.3229,21.3725,21.429,21.4845,21.5275,21.5597,21.5842,21.6037
Control,-33.1662,-33.1636,-33.1618,-33.1595,-33.1566,-33.1554,-33.1548,-33.1534,43.1849,43.1919,43.1953,43.2009,43.2075,43.2119,43.2156,43.2192,43.2228,43.7426,43.7611,43.773,43.7872,43.8008,43.8099,43.8183,43.8257,43.832,21.6909,21.6927,21.695,21.6974,21.698,21.6987,21.7006,21.7024,21.703,17.501,17.5066,17.5126,17.5193,17.5236,17.5297,17.5313,17.5387,17.5371,30.3242,30.3294,30.3318,30.3344,30.335,30.3363,30.3383,30.3391,30.3395,-25.7311,-25.6931,-25.6579,-25.6234,-25.5927,-25.5595,-25.5374,-25.5179,-25.4889,34.3242,34.9629,35.3114,35.6783,35.9917,36.2324,36.4087,36.542,36.6397,32.9909,33.0321,33.0587,33.087,33.113,33.1349,33.1521,33.1671,33.1773,25.6072,25.6894,25.7604,25.8344,25.9065,25.9689,26.0257,26.0725,26.1109
Control,-32.4718,-32.4671,-32.4671,-32.4637,-32.4629,-32.4623,-32.4615,-32.4584,43.2014,43.2265,43.2404,43.2535,43.2632,43.2719,43.2753,43.2803,43.2864,43.3396,43.408,43.4507,43.4841,43.508,43.5257,43.5406,43.5523,43.562,22.5839,22.59,22.5923,22.5946,22.5957,22.5977,22.5992,22.599,22.6009,18.4921,18.514,18.5272,18.5381,18.5439,18.5497,18.5514,18.5596,18.5629,30.5417,30.5542,30.5583,30.563,30.5661,30.5656,30.567,30.5689,30.5675,-27.1271,-26.9775,-26.8749,-26.8022,-26.7371,-26.688,-26.6421,-26.6023,-26.5722,23.3779,25.5604,26.6067,27.2932,27.7275,28.0023,28.1978,28.3387,28.4443,32.7713,32.9271,33.0143,33.0773,33.1192,33.1495,33.1727,33.1908,33.2052,22.7924,23.1153,23.3651,23.5622,23.7104,23.8199,23.9018,23.9621,24.0072
Control,-31.7121,-31.7099,-31.707,-31.7069,-31.7058,-31.7048,-31.7049,-31.7053,43.1007,43.1177,43.1264,43.1348,43.142,43.1471,43.1516,43.1533,43.1557,42.5978,42.6482,42.6756,42.6996,42.7181,42.7314,42.7389,42.7438,42.7489,23.5391,23.5438,23.5435,23.5444,23.5462,23.5484,23.5486,23.5474,23.5465,19.559,19.5698,19.578,19.5816,19.5855,19.5902,19.5942,19.5963,19.59,30.72,30.7296,30.7315,30.7377,30.741,30.7403,30.7405,30.7369,30.7373,-28.661,-28.5673,-28.509,-28.4531,-28.4164,-28.3835,-28.3618,-28.3415,-28.3216,8.5963,9.7844,10.3714,10.7937,11.0418,11.1732,11.2449,11.3046,11.3681,32.1533,32.2569,32.3114,32.3544,32.3835,32.4022,32.4141,32.4196,32.4287,21.5656,21.7574,21.896,22.0082,22.09,22.1472,22.1843,22.2097,22.231
Control,-31.3937,-31.3899,-31.3876,-31.3869,-31.3851,-31.3852,-31.3842,-31.3842,43.0757,43.102,43.1183,43.1286,43.1396,43.1491,43.1531,43.1605,43.167,42.4259,42.4976,42.5439,42.5759,42.6052,42.6234,42.6368,42.6486,42.6597,23.9113,23.9155,23.9161,23.9182,23.919,23.9197,23.9197,23.9209,23.9206,19.9691,19.9884,19.9997,20.006,20.0119,20.0213,20.0154,20.0221,20.0215,30.8046,30.8169,30.8205,30.8211,30.8265,30.8272,30.8255,30.8237,30.8269,-28.7576,-28.6242,-28.5238,-28.4505,-28.3901,-28.3457,-28.307,-28.272,-28.2435,5.9558,7.4728,8.2662,8.7326,9.0779,9.2711,9.3835,9.4395,9.5398,32.2455,32.3893,32.47,32.5226,32.5662,32.5931,32.6102,32.6248,32.6395,22.0706,22.4156,22.6505,22.8201,22.9441,23.028,23.0853,23.1166,23.1492
Control,-32.8664,-32.8604,-32.8585,-32.857,-32.8536,-32.8523,-32.851,-32.851,43.2289,43.2469,43.263,43.2735,43.2825,43.2924,43.295,43.3025,43.3056,43.6578,43.7138,43.7559,43.7839,43.807,43.8282,43.839,43.8526,43.8609,22.0691,22.0718,22.0772,22.0779,22.079,22.0809,22.0816,22.0847,22.0836,17.9059,17.9253,17.9407,17.947,17.9575,17.964,17.9688,17.9741,17.974,30.4199,30.4287,30.4374,30.4414,30.4413,30.4451,30.4444,30.446,30.4449,-26.0837,-25.9479,-25.8488,-25.7695,-25.7076,-25.6484,-25.6055,-25.5722,-25.5368,31.7266,33.7912,34.8406,35.5773,36.0195,36.3691,36.5839,36.7306,36.8721,33.0408,33.178,33.2659,33.3291,33.3728,33.4111,33.4333,33.4549,33.4694,24.5665,24.8509,25.0946,25.2961,25.4568,25.5889,25.686,25.7651,25.8268
Control,-32.5953,-32.5906,-32.5873,-32.5865,-32.5841,-32.583,-32.5829,-32.5822,43.2119,43.2311,43.2447,43.2562,43.2651,43.2711,43.2753,43.2811,43.2842,43.4223,43.4834,43.5214,43.5505,43.572,43.5883,43.6013,43.6123,43.6203,22.4276,22.4329,22.435,22.4372,22.4384,22.4392,22.4405,22.4415,22.4412,18.3075,18.3261,18.3366,18.3435,18.3511,18.3579,18.3616,18.3677,18.3704,30.5038,30.5147,30.5204,30.5255,30.526,30.5262,30.5264,30.526,30.5298,-26.8874,-26.7504,-26.6603,-26.5885,-26.532,-26.4851,-26.447,-26.4117,-26.3874,26.0178,27.9912,28.9382,29.5718,29.9681,30.2215,30.393,30.5226,30.6128,32.823,32.9632,33.0415,33.0982,33.1363,33.164,33.1843,33.2007,33.2121,23.3881,23.6777,23.9048,24.0838,24.222,24.326,24.4,24.4585,24.5003
Control,-33.0072,-33.0042,-33.0009,-32.9994,-32.9988,-32.9961,-32.9963,-32.9949,43.2251,43.2446,43.2561,43.2669,43.2742,43.2789,43.2871,43.2887,43.2927,43.7223,43.7722,43.8001,43.8257,43.8461,43.8598,43.8753,43.8822,43.8933,21.8847,21.8923,21.8925,21.8961,21.897,21.8978,21.8999,21.8991,21.9026,17.7099,17.7293,17.7366,17.7477,17.7494,17.7575,17.7634,17.764,17.7703,30.3715,30.3868,30.3882,30.3909,30.3968,30.3955,30.4005,30.3942,30.3969,-25.8191,-25.706,-25.627,-25.5611,-25.5069,-25.4678,-25.421,-25.391,-25.3603,33.6958,35.3107,36.1655,36.7279,37.1947,37.4444,37.6723,37.809,37.8982,33.0591,33.1725,33.2369,33.2888,33.3332,33.3576,33.3864,33.401,33.4174,25.1949,25.4179,25.6084,25.772,25.9114,26.0204,26.1112,26.1809,26.2367
