,treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
DC01,Control,-32.0414,-32.0387,-32.0369,-32.0353,-32.0338,-32.0326,-32.0311,-32.0302,43.1256,43.1315,43.136,43.1413,43.146,43.1517,43.1565,43.1585,43.1606,42.8025,42.8202,42.8329,42.8485,42.8656,42.8779,42.8878,42.8946,42.901,23.1498,23.1531,23.153,23.154,23.1557,23.1571,23.1588,23.1602,23.1617,19.1247,19.1316,19.1308,19.1358,19.1401,19.1424,19.1546,19.1514,19.1524,30.6545,30.6572,30.6608,30.6623,30.666,30.6648,30.6673,30.6695,30.6687,-28.4964,-28.4636,-28.4311,-28.3948,-28.3637,-28.3332,-28.3058,-28.2891,-28.2707,11.1372,11.6032,11.8961,12.3234,12.6979,12.9206,13.0572,13.1459,13.2125,32.1636,32.202,32.2252,32.2593,32.2931,32.3144,32.3314,32.3416,32.35,21.4776,21.5431,21.5936,21.6565,21.7221,21.7727,21.8126,21.8408,21.8629
DC03,Control,-31.6228,-31.6216,-31.6181,-31.6178,-31.6153,-31.618,-31.6145,-31.6154,43.0285,43.0374,43.0385,43.0457,43.0505,43.0539,43.0548,43.0606,43.0613,42.3805,42.3972,42.4057,42.4244,42.4385,42.4484,42.4537,42.4621,42.4635,23.6512,23.6556,23.654,23.6583,23.658,23.6603,23.6593,23.6618,23.6607,19.6598,19.665,19.6656,19.6733,19.6761,19.6834,19.6826,19.683,19.6837,30.7394,30.7424,30.7425,30.7446,30.7521,30.7492,30.7507,30.7523,30.7486,-29.0871,-29.0551,-29.0347,-28.9982,-28.9706,-28.9525,-28.9295,-28.9179,-28.9024,5.3722,5.6662,5.9008,6.2381,6.5483,6.6682,6.7909,6.8459,6.9051,31.8817,31.9138,31.9324,31.9678,31.9957,32.0101,32.0208,32.0333,32.0364,21.657,21.6995,21.7342,21.7839,21.834,21.8712,21.9027,21.9261,21.9403
DC04,Control,-32.3749,-32.3721,-32.3697,-32.3691,-32.3672,-32.3646,-32.3648,-32.3659,43.1143,43.1141,43.1184,43.1212,43.1226,43.1291,43.133,43.1345,43.1345,43.0265,43.028,43.0365,43.044,43.0538,43.0652,43.0715,43.0741,43.0802,22.7306,22.7312,22.7357,22.7376,22.7365,22.7395,22.7423,22.7418,22.7416,18.6479,18.6494,18.6573,18.6563,18.6597,18.6641,18.6652,18.664,18.6671,30.5644,30.5632,30.5658,30.5668,30.5686,30.5723,30.5722,30.5716,30.5737,-28.0757,-28.0795,-28.0616,-28.0487,-28.0233,-28.0004,-27.9846,-27.9691,-27.9524,15.786,15.9097,16.0239,16.3317,16.6667,16.9057,17.0305,17.1293,17.2439,32.2735,32.2811,32.2928,32.3108,32.3351,32.3564,32.3695,32.3768,32.3873,22.1607,22.1556,22.1564,22.1819,22.2205,22.2605,22.2899,22.3137,22.3374
DC09,Control,-32.237,-32.2367,-32.2325,-32.2326,-32.2311,-32.2312,-32.2295,-32.2297,43.1604,43.1713,43.1788,43.1862,43.1892,43.1966,43.1962,43.2027,43.2019,43.0317,43.0637,43.0835,43.1043,43.1155,43.129,43.1319,43.1424,43.1431,22.8985,22.8997,22.8999,22.9038,22.9025,22.9065,22.9044,22.9071,22.9048,18.8367,18.8462,18.8524,18.8615,18.8606,18.8638,18.8648,18.868,18.8661,30.6029,30.6048,30.6079,30.6117,30.6131,30.6164,30.6124,30.6159,30.6143,-27.9564,-27.8888,-27.849,-27.8019,-27.7667,-27.7389,-27.7183,-27.6997,-27.6876,15.9798,16.9682,17.4849,17.8624,18.1161,18.2748,18.3698,18.4393,18.4735,32.4032,32.4768,32.5181,32.5555,32.5771,32.5964,32.603,32.6184,32.6208,21.971,22.1188,22.2314,22.3226,22.394,22.4478,22.4854,22.5142,22.5337
DC10,Control,-31.871,-31.8673,-31.8657,-31.8624,-31.8623,-31.8618,-31.8621,-31.8612,43.1415,43.1601,43.1704,43.1806,43.1886,43.1958,43.1961,43.1987,43.2027,42.7878,42.843,42.8736,42.9016,42.9236,42.9393,42.9468,42.9522,42.9618,23.344,23.349,23.3488,23.3499,23.3518,23.3539,23.3519,23.35,23.352,19.3356,19.3501,19.3553,19.3638,19.367,19.3755,19.3755,19.3761,19.379,30.6973,30.7067,30.7074,30.7112,30.7138,30.7158,30.7123,30.7116,30.7111,-28.3514,-28.2414,-28.1705,-28.11,-28.0558,-28.0293,-27.9949,-27.9684,-27.9459,11.4413,12.7976,13.4643,13.991,14.3121,14.4628,14.5481,14.6269,14.7021,32.3237,32.4395,32.4977,32.549,32.5856,32.6078,32.6186,32.6284,32.6398,21.4787,21.7063,21.8758,22.0091,22.1116,22.1808,22.2275,22.2633,22.2872
DC11,Control,-31.5566,-31.554,-31.5523,-31.5504,-31.5499,-31.5487,-31.5491,-31.5474,43.0675,43.08,43.087,43.0972,43.104,43.111,43.1147,43.1176,43.1195,42.4488,42.4886,42.5149,42.5413,42.5586,42.5703,42.5797,42.5863,42.5909,23.7232,23.7257,23.7243,23.7273,23.7302,23.7304,23.7302,23.7306,23.7309,19.7444,19.7571,19.7604,19.7644,19.771,19.7779,19.7791,19.776,19.777,30.7586,30.7674,30.7655,30.7676,30.7743,30.7739,30.774,30.7751,30.7733,-28.8305,-28.7539,-28.701,-28.6481,-28.6082,-28.5805,-28.5591,-28.5317,-28.5173,6.786,7.6808,8.1969,8.6142,8.8688,8.9934,9.0624,9.1152,9.1522,32.0871,32.1679,32.2155,32.2604,32.2909,32.308,32.3192,32.3303,32.336,22.1646,22.3269,22.4471,22.5496,22.6293,22.6859,22.7285,22.7589,22.7782
DC12,Control,-31.2587,-31.2544,-31.2521,-31.2512,-31.2517,-31.2509,-31.2505,-31.2487,42.9956,43.0177,43.0319,43.0424,43.0532,43.0613,43.0631,43.0689,43.0746,42.2185,42.2899,42.3327,42.3665,42.3901,42.4062,42.4153,42.4274,42.4382,24.0572,24.0576,24.0598,24.0618,24.0646,24.0631,24.0616,24.0628,24.0637,20.1271,20.1432,20.1525,20.1614,20.1691,20.1687,20.1716,20.1722,20.1767,30.8066,30.816,30.8197,30.8221,30.8267,30.8248,30.8241,30.8237,30.8256,-28.9429,-28.8043,-28.7132,-28.6411,-28.5924,-28.5503,-28.5134,-28.4873,-28.4525,3.2151,4.84,5.5803,6.0274,6.3059,6.4714,6.5641,6.6209,6.6795,32.0651,32.2203,32.2969,32.3505,32.388,32.4112,32.4247,32.4376,32.4505,21.4376,21.7786,22.0046,22.1655,22.2771,22.3549,22.4065,22.4428,22.4721
DC14,Control,-31.9492,-31.9451,-31.9427,-31.9398,-31.9402,-31.9397,-31.9408,-31.9386,43.1482,43.1599,43.1726,43.1834,43.1897,43.1931,43.1958,43.2007,43.2043,42.8219,42.8651,42.8968,42.9235,42.9418,42.9526,42.9599,42.9698,42.9795,23.2555,23.2563,23.2588,23.2619,23.2633,23.262,23.2609,23.2619,23.2651,19.2414,19.2482,19.258,19.2639,19.2706,19.271,19.27,19.2725,19.2799,30.6796,30.6843,30.6917,30.6958,30.6964,30.6952,30.6934,30.6949,30.7002,-28.3352,-28.2421,-28.1782,-28.1198,-28.0784,-28.0471,-28.0169,-27.9941,-27.971,12.0845,13.2715,13.905,14.377,14.6691,14.8337,14.9538,15.0414,15.088,32.3031,32.3954,32.4545,32.5021,32.5322,32.5495,32.5628,32.5774,32.5887,21.4609,21.6579,21.8083,21.9269,22.0185,22.0839,22.1281,22.1634,22.1859
DC15,Control,-31.5005,-31.4973,-31.4951,-31.4951,-31.4937,-31.4935,-31.4945,-31.4919,43.0656,43.0855,43.0968,43.1075,43.1115,43.118,43.1268,43.1264,43.1319,42.4398,42.496,42.5311,42.5596,42.5786,42.59,42.6054,42.6092,42.6176,23.7855,23.7899,23.7923,23.7924,23.7909,23.7914,23.7936,23.7916,23.7945,19.822,19.8352,19.8404,19.8518,19.8483,19.8525,19.8589,19.8553,19.8587,30.7711,30.7843,30.7863,30.7895,30.7906,30.7876,30.7901,30.7867,30.7903,-28.7958,-28.6864,-28.6155,-28.5544,-28.5087,-28.4738,-28.4435,-28.4237,-28.4022,6.5526,7.7876,8.3904,8.8735,9.1675,9.2743,9.3848,9.4293,9.4349,32.1401,32.2558,32.317,32.3681,32.3989,32.4152,32.4355,32.44,32.4498,23.1718,23.3779,23.5261,23.6456,23.7346,23.7946,23.8372,23.8652,23.8856
DC16,Control,-31.1414,-31.1375,-31.1363,-31.1354,-31.1344,-31.1337,-31.136,-31.1339,42.9489,42.9702,42.9879,42.9987,43.0056,43.0156,43.0196,43.0227,43.0283,42.037,42.1082,42.1556,42.1841,42.205,42.2248,42.2372,42.2458,42.2554,24.195,24.1995,24.2034,24.2013,24.202,24.2049,24.2037,24.2045,24.205,20.2886,20.306,20.3188,20.3231,20.3248,20.3344,20.3353,20.3336,20.338,30.8319,30.8426,30.8497,30.8494,30.8508,30.8556,30.8538,30.8518,30.854,-29.2207,-29.082,-28.997,-28.9404,-28.8876,-28.8517,-28.8175,-28.7915,-28.7641,-0.0224,1.3918,2.0883,2.5156,2.735,2.8809,2.9952,3.0477,3.0835,31.8929,32.0384,32.1193,32.1694,32.2,32.2258,32.2434,32.2522,32.2646,20.8156,21.1325,21.3466,21.4975,21.6006,21.6728,21.7247,21.7577,21.7831
