Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
A_C_1,Control,13.297889,13474.104,1184.088,160.72749,364.99255,100.97804,258.91519,290.41553,40.624065,172.10573,208.98868,180.38177,94.489288,163.19281,83.403709,3.9200172,221.94936,309.70862,50.892365,50.34008,994.9903,28.757954,65.049507,44.308334,84.55481,14.969158,12.754103,28.918184,28.813221,9.9276333,52.170738,18.467562,18.475601,4.752244,43.226028,2.8872209
A_C_1,Control,16.968277,13059.283,1143.338,129.40524,335.91751,94.879066,270.43604,271.76605,41.244442,152.38045,183.03348,218.09035,87.655556,123.73856,84.466003,9.5873642,212.44827,293.4881,79.56945,42.492496,1033.9156,42.335232,55.9944,43.09412,75.812134,12.933557,19.805866,32.264137,24.262474,25.280699,26.799849,30.178562,11.629185,5.6231408,40.547291,1.2641575
A_C_1,Control,13.078168,13312.994,1084.2482,154.24187,343.83765,98.611916,279.22473,275.72635,32.469421,163.26199,186.14034,199.07204,105.20908,121.86361,84.675034,4.7388496,237.65327,288.24454,67.947372,59.945091,972.7146,33.886761,85.218636,38.306087,49.094826,20.261312,19.152256,28.296961,23.810091,11.980798,40.336903,29.311249,21.622501,9.1369486,70.005455,5.3614964
A_C_1,Control,14.201991,12614.238,1112.3362,142.74043,298.23584,89.098602,257.68307,263.03793,38.962868,193.34682,194.79544,184.71906,117.84658,134.8237,86.846184,12.2335,224.82353,271.95013,80.120201,51.208809,999.12134,35.564186,54.89814,42.009884,62.334682,25.111902,19.262604,19.254725,23.782043,11.328495,43.174358,13.114365,19.885612,14.022809,55.549809,1.8111079
A_C_1,Control,18.224316,13931.486,995.20105,149.90076,303.01709,80.244156,244.65549,264.33679,37.888298,164.77318,197.73752,207.33096,83.914574,126.05966,88.170311,7.3800368,249.69186,317.87952,73.599792,48.970562,982.56592,39.475338,46.491589,31.732044,53.470379,26.018684,25.563984,24.519049,35.862019,8.6774378,39.996925,18.474304,16.107201,7.3942528,63.20306,5.0522728
A_C_1,Control,11.040772,13205.428,1100.0167,149.51643,275.75565,79.150902,222.6875,275.65601,32.980728,172.41586,201.47353,198.19083,106.09895,129.60742,65.847,0.94610196,237.77248,271.20551,58.621258,46.117718,952.12256,35.8321,73.354584,50.025024,49.63673,22.191219,10.596517,29.802227,36.291805,13.560831,41.023403,17.687122,15.655706,2.7350998,59.247879,1.2461178
A_C_1,Control,26.320221,13422.188,1062.986,135.35471,293.22568,84.050568,222.54398,280.14236,31.385492,167.1102,195.13058,219.41794,89.496025,117.10433,90.369263,6.6081972,245.18179,289.34985,65.329605,45.622665,973.05176,37.425186,60.973003,23.881029,63.742176,14.72857,13.871741,33.837254,30.978008,14.544299,30.155985,27.538881,14.870383,4.9831963,49.667576,4.0373454
A_C_1,Control,20.517822,12871.97,1127.7799,157.90327,303.96335,79.781914,274.20718,300.55267,30.029547,193.91002,204.24069,179.26764,110.73935,136.9299,81.228355,1.8225061,208.51852,273.45523,52.92992,47.680962,966.11713,39.464455,56.6297,32.601048,52.310741,4.573184,13.072318,25.811066,27.695822,19.379564,27.914803,15.48571,10.901677,9.3399706,58.487015,1.878624
A_C_1,Control,20.293034,13145.175,1109.4103,118.76331,294.82593,86.882774,218.76144,242.58856,36.332462,192.89583,202.94264,185.86703,66.479759,107.20229,79.459465,4.9662933,234.9888,310.02591,54.068901,41.934216,944.27869,26.511047,43.73608,40.457867,53.060898,17.778877,22.307844,18.609188,31.42145,17.961081,39.183178,17.725666,30.28686,7.9902754,63.501743,2.3232591
A_C_1,Control,25.114748,14042.707,1066.1381,149.1675,298.22797,67.3368,253.1792,239.28456,29.566971,191.42091,194.38052,221.40305,102.9351,118.53806,86.290047,8.9036665,214.89395,303.58618,60.451912,35.89679,977.07965,30.473471,57.877285,34.284542,46.464466,24.836113,16.033537,35.000427,50.88332,21.283197,28.295956,20.289257,17.295559,8.4590244,72.656105,5.1962862
A_C_1,Control,17.815052,13152.227,1083.934,137.63222,292.51624,71.500351,243.75687,254.54291,30.252394,189.52148,160.14427,198.72328,75.23233,130.79686,68.596367,0.83819515,255.3725,269.50024,50.599789,60.747841,936.91602,28.785793,76.079826,41.36721,46.355312,29.570047,20.281784,21.96773,34.657806,21.067427,27.3276,20.022736,22.791945,7.8569827,69.36013,2.8924646
A_C_1,Control,16.393497,12760.874,1221.3752,166.31401,365.43982,71.440697,287.94373,387.30106,38.059986,177.62885,577.89014,204.05801,114.83825,134.59485,78.284645,1.6000302,273.73221,1510.2146,96.072464,48.120224,909.33423,42.184662,55.892555,55.489033,44.44569,38.910213,18.373238,57.894886,45.683517,34.296581,51.692341,27.985899,112.59116,11.177599,42.622169,0
A_C_1,Control,16.310902,13675.014,1238.978,192.3654,529.80481,84.05159,387.90073,611.1618,40.218197,157.21523,505.89066,247.841,138.45694,145.77559,92.294037,3.9008551,362.81964,1302.2144,115.64799,56.132927,853.58728,35.815811,63.79678,56.116879,50.061554,53.596714,21.531185,46.23225,42.819679,39.376541,47.048229,48.197643,105.12157,10.777225,44.40131,2.9107363
A_C_1,Control,14.591581,14389.126,1049.656,166.72372,299.33783,86.94928,356.85629,327.19354,43.007511,165.02074,223.99666,251.57275,81.923454,112.51303,89.254639,5.1026602,211.05139,356.08731,62.762222,56.261311,825.55835,45.176319,111.82914,35.778545,45.734478,25.495293,27.821251,36.644772,19.61499,69.056587,44.421856,34.837349,23.083666,10.711734,53.281544,4.8455062
A_C_1,Control,17.14579,13234.974,1090.8127,180.55145,279.44272,82.056549,247.06995,262.04181,25.607515,149.69208,192.00465,193.72878,90.973267,113.0891,65.400291,8.492177,237.07793,318.57239,63.116913,39.313972,822.03314,34.829453,96.979736,56.813946,44.816944,19.342453,15.571116,34.096981,34.206898,39.834099,27.801771,25.932116,16.09203,6.4551449,38.962585,0.018753391
A_C_1,Control,5.137888,14151.232,1092.3375,130.66393,327.72186,81.390053,273.35837,231.49104,35.776859,133.755,182.74461,195.20848,109.05459,125.53654,50.75386,5.6101346,211.6573,277.46625,59.078831,47.805515,836.67261,22.481253,91.365189,35.029408,61.608646,13.452888,17.333038,16.542706,29.211748,14.161246,50.086414,19.321045,23.66976,2.5468869,54.367813,7.9874511
