Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
D_C_1,Control,10.185499,12763.431,878.34729,116.6306,192.14896,43.25161,387.47409,187.57079,29.280577,146.31477,290.74957,205.86275,60.682137,94.272377,60.065269,3.2052531,184.22055,140.67078,39.138885,34.337311,602.94843,22.842569,23.203751,127.8846,55.177227,9.2939844,17.11104,28.169987,30.636341,3.3290353,38.463314,5.348485,19.171024,9.6093245,46.957333,9.6690092
D_C_1,Control,10.808088,12508.428,897.38788,112.82693,200.34604,57.880222,388.26355,189.06075,15.323673,121.87665,334.50046,190.05988,49.101089,108.86391,68.719391,1.9154769,175.13142,194.15562,27.397282,19.030338,640.30066,19.549498,35.338966,153.54495,63.150414,2.6378913,14.050981,30.624916,32.624691,10.118456,35.394199,10.412771,14.008931,8.3286629,68.264397,10.361923
D_C_1,Control,13.484022,12880.751,887.41382,95.314491,223.73996,47.950005,376.6976,210.58107,17.398067,171.48489,313.91949,161.30161,57.867382,97.516472,68.078239,2.6192398,135.51524,168.04019,29.313393,30.017452,648.95917,22.153284,23.152761,131.90334,62.6744,26.456726,14.474515,17.516779,22.490866,13.695538,42.002106,7.0891433,21.876154,8.6459818,54.92897,2.6540546
D_C_1,Control,18.176533,13318.439,892.59625,124.11059,176.95197,73.175293,399.01575,171.64352,24.316303,164.78174,306.49246,207.43231,54.125484,105.5222,53.312107,1.6275014,136.05527,166.70076,49.986412,45.915249,624.25287,15.79963,23.731764,138.83156,61.206127,10.676842,15.116733,27.208321,24.266562,18.115255,41.828453,15.420813,5.9521356,11.647007,55.437462,2.4796369
D_C_1,Control,6.3437901,13155.912,893.50787,111.63442,220.22878,52.867756,380.64395,175.96913,24.900293,159.64603,269.02313,196.24873,46.277893,111.87625,65.204697,3.6636307,162.52316,181.32245,34.201168,31.931126,551.44037,22.257895,31.326685,174.28822,49.020065,14.400671,10.33999,17.70857,26.973326,19.022585,42.654819,14.66309,11.01144,7.2653222,56.458054,1.8711523
D_C_1,Control,7.8597503,13082.62,872.08069,121.45753,195.71478,37.577778,380.23578,168.1095,22.570345,131.79893,279.05875,164.70261,61.414555,106.18003,49.095982,1.2885368,143.54907,182.09233,38.298027,31.262943,559.93561,21.626417,33.306641,134.98305,36.150604,9.6605206,15.236523,27.121067,21.751095,13.021005,33.689159,13.077728,18.525351,10.620663,50.590588,5.2962475
D_C_1,Control,12.382546,12931.529,911.89807,99.540428,183.56978,58.413998,374.50577,154.39363,20.96332,169.82208,277.47803,190.09999,44.815418,85.471573,69.555878,4.6519566,147.55324,207.16338,29.81031,25.604923,503.45453,17.548883,41.542019,169.43007,64.763863,22.939962,9.7654076,17.75934,25.362087,9.6165009,40.377502,8.5751276,6.1287904,10.715451,46.65546,2.558831
D_C_1,Control,16.884962,13147.272,922.14478,117.28292,208.71977,35.927761,348.57944,160.24498,20.424652,153.71085,292.93207,185.40942,51.285843,96.789688,56.74958,6.7710319,156.27118,165.34233,40.027081,33.599537,526.54828,24.812637,29.709887,149.88782,58.407703,3.9715495,18.063843,34.575703,29.875191,22.133734,44.291924,9.0594463,5.348177,4.6425204,50.22477,6.7404966
D_C_1,Control,12.911428,12727.573,833.22528,112.59037,170.86877,59.687946,431.27789,200.80223,15.736986,166.82278,278.99753,196.77107,67.768967,105.22325,40.682373,0,174.66811,193.7002,51.830685,22.952673,550.31274,20.00371,43.0676,157.50096,54.157375,12.619877,9.8530083,22.056503,22.669537,7.0933337,41.288422,8.3388538,8.6935425,14.979,43.902016,0.27455688
D_C_1,Control,12.496255,12912.527,927.63477,135.77135,171.27988,48.30851,335.306,168.59225,30.322975,134.51469,259.26523,161.32486,43.145023,120.81276,55.089832,2.6626353,157.18034,168.04955,38.071632,29.113594,542.72119,19.20639,28.149311,134.63948,77.28878,11.779965,18.948862,19.236349,31.151289,9.9895849,28.109016,11.680344,11.728139,9.2805815,50.342224,3.5580873
D_C_1,Control,7.9626994,13115.625,912.23773,103.78596,192.11047,56.667,416.11887,174.76401,20.096642,148.21625,274.61896,201.32956,74.269623,91.422028,68.656731,3.6983204,134.0742,193.22617,47.702572,38.195496,554.7876,20.452492,31.249512,142.29184,79.423401,9.8821306,18.383318,20.669498,24.934198,12.313101,47.869869,15.968502,15.3577,5.3393478,44.661942,4.8471804
D_C_1,Control,16.468119,13079.183,870.52844,96.754944,198.32877,35.512554,347.98062,175.72833,19.285212,138.24791,285.20773,196.42783,66.114693,105.44971,54.509327,0,149.50989,157.24605,33.222954,29.592911,544.24603,22.611734,30.653952,147.7561,59.425354,15.579645,12.254581,23.716909,31.471378,11.138581,35.244781,11.342402,14.37933,13.193618,33.241352,2.6947277
D_C_1,Control,18.557205,13324.18,887.91821,118.6283,211.62596,63.10537,378.7037,203.75232,13.170743,156.54471,261.41428,170.5918,57.433746,102.28006,52.657227,1.7054762,138.04123,172.64435,57.02314,26.530693,482.22992,17.277134,31.037943,145.33884,46.588127,20.000589,18.090065,35.228279,25.372252,17.469316,25.742506,10.527667,10.51477,10.168156,61.104004,0.1178891
D_C_1,Control,11.81263,13228.549,857.19501,102.85678,213.0981,39.039562,411.87506,164.21425,25.256281,148.19606,264.86093,212.72818,48.678947,112.65842,63.200314,0.94735897,148.32901,166.1084,41.368244,34.356152,461.83859,17.57988,38.681599,141.11423,66.638184,9.676528,12.077625,28.760979,26.280916,7.1034775,43.490139,9.1943779,12.501496,9.2311506,43.415642,1.9737005
D_C_1,Control,13.240645,12786.214,862.48859,106.88172,204.03795,50.201706,327.23477,179.57805,25.193914,118.71799,260.38043,194.69426,59.183239,115.61839,58.463154,7.2770238,154.00381,176.09238,37.184006,28.429684,512.44122,21.129927,25.318958,173.67741,54.950054,11.70476,12.325869,31.205137,18.190443,12.861902,23.459217,7.3882694,13.956387,9.1952314,58.860107,3.5424445
D_C_1,Control,9.86057,12553.98,888.94336,119.01007,180.26164,60.921593,382.64392,173.02725,16.857649,126.81726,295.19873,178.7054,58.726566,100.40272,62.489426,2.192292,169.10214,180.78134,36.143387,29.695444,511.59073,27.430378,31.899099,110.62799,47.019081,15.436179,15.67029,31.300833,26.812531,14.698536,35.479103,11.02858,15.892112,9.2499504,50.791172,6.9783287
D_C_1,Control,10.202815,12503.399,868.65216,115.49394,185.12517,50.178898,367.66885,167.28082,16.608974,131.12285,270.15179,191.76906,42.862251,126.05292,50.416298,1.7170641,152.88599,162.43088,33.343632,34.118195,474.92178,14.051709,26.570713,149.05069,59.427921,10.555338,11.099422,25.33522,33.431583,8.5141687,25.67004,12.52592,5.7752666,10.400634,40.711941,1.6486963
D_C_1,Control,4.6290817,12481.063,836.74866,93.84053,203.20941,28.726595,352.08423,178.21541,19.153437,153.9698,248.86987,197.89227,55.152142,117.07269,47.145657,0.63682282,136.68037,149.55377,38.619377,30.245241,483.61807,21.199438,18.414885,155.30789,55.143002,14.944772,8.454422,19.412285,25.773966,6.2253957,27.972706,7.5183702,5.2288017,13.055594,49.639557,4.033267
D_C_1,Control,14.69299,12579.157,976.96796,111.22886,184.78424,52.102436,364.91409,164.28441,16.794106,148.34807,253.54703,209.03107,37.688103,112.99768,53.509716,1.9954339,138.18796,210.04533,32.429222,44.382076,574.41199,17.681217,34.82029,157.98409,55.669422,4.9631786,13.224351,27.720167,19.391851,12.856006,42.226204,8.6737652,15.145166,11.606354,51.817921,4.32093
D_C_1,Control,8.8095627,12722.999,887.70538,102.16557,177.00049,37.6292,368.7301,171.07997,19.974888,150.01433,261.46194,182.04659,46.927395,94.392754,70.373764,6.181108,149.00357,156.91991,32.154789,31.019789,488.0574,31.373348,38.241322,146.20308,34.226704,9.2853956,17.163326,14.557038,27.410337,12.627234,29.835018,10.796487,4.8397989,7.4189978,51.027351,0
D_C_1,Control,11.725163,12853.193,866.45099,131.798,163.84883,53.462212,399.92212,154.51228,20.623425,153.72133,274.60361,182.57129,40.49268,89.773674,52.255562,2.2590458,131.01486,166.70474,31.107761,28.916243,422.13287,19.470259,26.502457,132.22778,62.00589,21.240042,18.943071,15.290058,21.31427,7.2295895,34.238365,3.6810322,8.061101,5.5789919,48.539448,1.8713458
D_C_1,Control,11.536588,12665.074,867.57556,122.15843,171.38509,62.605236,355.62183,164.90594,18.906273,145.12843,254.68015,161.27541,60.735241,92.996262,59.079903,1.5365431,131.79233,153.39941,37.031235,23.535734,471.48376,15.012133,30.928221,134.0058,63.983574,11.167758,15.632743,21.127024,23.25136,8.244029,33.377491,9.0021982,8.7552032,12.528805,33.249519,4.8673534
D_C_1,Control,10.199733,12848.012,864.26855,85.485626,175.64046,47.925209,412.83664,162.27965,12.112761,135.47433,281.5206,182.29268,61.679565,100.49402,63.835644,1.5304742,150.31058,178.89354,38.352352,20.620035,489.58377,20.477148,37.062801,156.09927,51.522606,8.3704662,14.521465,15.252765,19.934488,9.1547832,31.215532,11.444536,6.1750178,6.0734458,47.85495,6.842494
D_C_1,Control,17.278439,13077.789,907.42786,136.97263,220.98715,37.267864,354.90131,161.57196,22.221226,146.66931,250.6356,173.59595,53.07785,104.22177,59.894035,2.8048644,152.83534,156.69608,32.634563,23.423164,443.73059,15.076437,34.773819,136.15376,82.048515,13.549372,11.720468,26.535994,32.249554,21.671513,27.151739,6.09586,9.8310909,18.848085,40.911777,1.8539943
D_C_1,Control,19.56282,13242.993,851.98987,117.02335,191.09009,59.968128,358.79691,170.98866,20.374706,122.83641,256.35876,187.95332,44.714737,88.394257,49.062714,2.5650167,134.23724,160.89334,27.721735,44.976585,460.6969,19.87534,34.711159,110.16933,64.207344,8.2632494,8.232852,22.230389,21.821669,21.493723,45.936802,6.0350575,9.0495148,8.8836374,33.621799,2.7337167
D_C_1,Control,8.3579741,12791.66,866.88812,122.39387,191.75623,47.480675,345.28363,160.19492,26.389212,155.58237,238.68983,179.88022,55.425106,103.4639,57.125057,5.4789758,150.63152,172.56995,36.040005,20.979027,461.89941,19.419159,31.509815,124.11194,53.984566,4.2796745,14.556167,15.194106,30.529215,8.308404,29.769131,11.593563,6.4676523,13.681524,46.576077,10.520473
D_C_2,Control,28.075306,11019.035,881.26776,99.442154,188.95491,59.910019,371.61673,141.04362,15.540744,140.33347,227.0159,168.88791,37.377411,77.257889,34.724937,1.065691,174.41733,188.15927,46.069561,20.915899,1341.5447,14.516777,43.088062,114.68018,44.96207,4.5374718,14.417878,45.869537,40.235775,14.596755,46.075161,9.4736443,11.890823,4.5828314,111.31818,9.3127489
D_C_2,Control,9.7632141,11017.412,938.87201,133.1918,232.97072,63.44558,356.68091,134.95416,15.612118,159.40642,229.33177,169.05295,45.182636,85.11692,38.247829,2.2620792,176.70175,197.45132,38.735798,26.10195,1342.9075,19.993431,30.478445,99.581444,52.276863,3.7452171,7.6985211,47.01897,38.309055,14.050052,44.632015,18.458206,13.729771,10.738363,107.60732,5.3353691
D_C_2,Control,8.2418499,10658.395,884.45612,107.51707,187.3123,75.931549,338.36401,151.1008,18.918558,126.62263,261.24759,200.97432,48.867901,74.640045,37.106213,3.5917382,172.58804,171.47932,31.600307,20.767582,1379.1167,11.989613,38.829056,119.46201,44.820759,8.5869999,6.9947052,43.50983,31.233782,7.7626061,47.555084,7.6641636,11.220994,3.6692741,111.01292,2.4350481
D_C_2,Control,15.47328,10351.919,954.33496,97.838554,202.35886,45.879444,413.125,145.06114,18.81859,172.04935,237.2724,167.62149,47.432602,72.054276,35.599361,2.0969751,200.56352,160.58426,30.167452,18.430286,1407.3579,10.226131,37.752541,122.99614,51.345501,9.5558786,13.858316,53.490017,40.763184,10.227368,44.020004,6.5762053,7.4265094,1.641088,139.67662,3.9110727
D_C_2,Control,19.865599,10265.068,853.60358,126.21527,197.31465,58.564354,375.05511,139.95187,15.306962,146.52704,274.35492,187.74057,58.983799,73.926003,36.988953,4.4066048,197.73909,168.13885,37.144096,22.275024,1273.8635,15.208381,59.673611,122.07649,52.252018,18.726488,13.630446,29.174366,32.586517,15.417044,39.844761,17.446907,8.3408537,6.1568375,122.52762,3.5339792
D_C_2,Control,13.2099,10252.192,881.95776,118.92461,206.07581,48.378323,356.12094,175.29498,13.573023,143.32941,254.62346,178.7948,28.828497,74.874802,49.824512,0.17406541,194.12634,170.17484,32.120647,20.132751,1372.3594,17.663177,40.830269,109.46841,40.726955,10.092625,9.3834553,35.516945,27.626659,22.089626,69.308586,25.163492,13.767183,3.3349528,140.3893,2.0961688
D_C_2,Control,9.0065918,10471.923,938.164,96.227295,196.47205,67.642296,361.78561,157.48964,14.192005,140.88452,241.70805,200.17664,42.286205,69.232857,47.38522,4.1805892,174.14133,171.71053,32.716248,20.076307,1304.7688,17.081902,43.10067,118.90292,49.885464,8.3855524,11.088703,42.956802,35.323669,11.163628,38.885605,10.728005,10.505542,5.1064835,105.80329,2.1928866
D_C_2,Control,19.390833,10322.508,933.36688,117.62069,207.64243,59.522099,359.06799,125.26706,24.529135,146.64111,253.81328,187.76611,63.100094,101.03129,46.505741,0,200.59932,168.92603,32.975536,16.04311,1353.7817,13.738143,47.205883,123.46504,54.615814,7.895566,4.8057079,42.727119,30.451855,30.04332,42.317181,12.668165,10.035876,9.1089153,106.54704,4.5117068
D_C_2,Control,17.525459,10388.078,895.36157,96.398079,218.5376,62.414795,361.06943,140.47507,19.93154,140.99959,285.04852,186.00621,58.888329,67.910164,42.197868,6.932044,210.77881,168.15735,23.506002,17.878183,1235.3296,25.117908,47.473984,120.54258,52.31171,9.8803444,15.965824,34.815994,27.496683,11.999546,59.448292,15.508182,9.8437595,10.875635,101.10852,12.655805
D_C_2,Control,11.457711,10471.26,831.6925,121.46722,230.37531,51.188843,382.23309,137.99438,9.6738014,119.66369,246.51683,202.50397,43.124886,72.479248,37.63113,5.9587374,190.18463,164.82069,27.438774,24.400545,1270.7041,17.760042,30.626474,121.87043,48.804176,10.182089,7.3935251,38.849392,36.583485,17.169426,41.166801,16.216909,8.6994848,4.10776,102.02057,2.9113934
D_C_2,Control,8.4022274,10531.096,854.84534,117.24304,174.24359,60.031811,440.07397,127.1819,16.491396,171.31747,241.69577,177.94917,54.894691,83.159569,40.057842,2.0169365,184.8457,186.3098,24.706074,28.923489,1351.0454,15.358579,36.213436,163.75967,42.160236,5.8791571,10.156254,39.236401,27.405155,15.338758,43.124763,22.001944,7.7980776,10.345247,111.98798,4.1786761
D_C_2,Control,14.464033,10577.262,903.41528,106.59389,220.67572,52.50415,375.92172,149.4798,16.477476,155.50385,250.03503,188.75142,54.938416,64.12191,44.563366,1.1703665,186.72867,193.84624,30.126877,29.849438,1413.3722,13.52982,50.206135,110.94025,45.898991,9.1466875,9.9001617,36.636002,33.861881,15.471994,59.893143,4.5329309,7.2055011,7.8831744,122.21446,5.506197
D_C_2,Control,7.4887843,10236.493,939.22772,108.24275,232.11647,45.117699,376.38956,159.82446,14.720604,167.98863,231.05319,183.34209,56.797817,76.287971,50.452599,0.097656004,180.60182,207.37935,38.037571,25.070166,1263.4812,14.717097,40.599068,114.89515,48.497639,5.9063673,7.9000821,42.069832,42.020489,13.741869,31.359207,11.708382,13.739767,6.3412366,96.403526,6.3931565
D_C_2,Control,16.531389,10271.973,861.96985,112.50827,183.86252,55.191895,359.87015,154.53691,16.319744,143.82535,218.67984,210.95644,48.870377,47.952652,33.476032,3.365551,168.37535,179.80069,39.711262,27.281193,1357.9843,20.752768,45.706642,121.19962,52.397305,3.4313688,4.7794485,50.506718,20.96958,9.8852806,39.404331,10.986279,11.036055,4.4570847,111.55757,1.1980846
D_C_2,Control,12.796551,10716.026,819.15485,106.98958,201.20355,91.833382,349.30237,139.58804,19.140497,116.90791,239.8488,183.52803,51.972569,61.360321,39.327053,12.142954,159.76601,169.7776,34.137566,27.44574,1288.0996,15.806613,29.757097,114.91945,45.213924,8.7029428,12.113459,38.028931,32.887897,16.700762,44.12257,7.1178679,7.9475522,5.3336473,121.68684,2.048836
D_C_2,Control,15.509221,10865.174,882.31787,95.720459,229.14009,67.346817,397.16803,148.79871,11.741281,119.75293,252.23689,141.5269,58.958733,54.907646,29.762112,6.8615475,207.45825,174.77063,31.694139,26.25069,1237.5675,9.6416969,36.126293,107.53319,44.505344,2.8279388,8.9997511,35.679958,41.354298,13.885948,42.923565,10.023329,10.8028,1.3500392,106.45495,3.2716973
D_C_2,Control,9.9983501,11281.872,926.5163,135.93201,179.59695,69.604691,412.2597,145.31396,17.458572,129.45395,212.20877,181.91589,52.348667,65.82663,48.602451,4.5321407,183.65184,144.8013,38.196869,14.196515,1253.2576,11.871805,38.051918,100.74069,36.108368,13.087893,14.485897,31.753805,32.265045,11.76173,35.298817,8.6159782,16.957762,3.5930219,111.59077,5.8842559
D_C_2,Control,17.676119,10963.212,871.42346,104.25594,178.05992,51.506012,405.83939,149.80486,17.371456,130.62276,228.57718,170.21533,46.434551,60.949459,37.610355,0.50572091,192.76164,170.7655,35.553944,16.33832,1229.6469,18.760504,29.290148,106.3978,41.634888,18.00136,11.74272,43.312881,30.32725,27.871784,41.224125,12.888269,12.679185,6.8913188,107.98282,4.0732923
D_C_2,Control,13.846747,11260.789,875.40472,112.68052,235.57324,55.140038,338.60059,134.04027,15.103337,133.85362,250.89906,175.22592,46.021404,76.431595,36.098488,0.88854802,168.47548,132.50102,26.682974,22.964901,1183.0146,14.615564,31.636292,100.6174,57.40823,11.118253,13.365947,41.412064,33.52314,14.774199,48.348713,10.827113,24.092991,3.6103551,98.46682,7.9725428
D_C_2,Control,19.177607,11011.517,802.50116,103.29275,169.91759,49.492695,340.99521,135.2677,24.613947,135.63239,253.37773,148.41875,46.615444,74.208099,41.773178,1.3674278,187.63371,173.13602,37.27845,19.37286,1319.958,11.776775,47.175354,126.96475,37.169422,15.734014,12.627864,43.609947,36.768669,12.472168,48.256325,11.242632,14.185463,7.6467872,108.24593,9.8753567
D_C_2,Control,14.472933,10762.479,860.04883,89.860153,217.35197,45.200153,352.55197,147.45174,12.245773,149.9062,229.45084,173.18047,36.769993,78.427963,27.841768,0,213.18939,153.95206,19.897921,23.93619,1255.5723,11.086804,38.319435,95.355408,38.009617,13.726676,8.9983892,55.092125,35.945381,27.097399,49.589733,8.2862482,15.089181,1.5913919,124.35349,6.1598396
D_C_2,Control,11.624561,10347.159,898.77576,106.73489,205.41307,51.789478,391.45825,150.57547,21.283857,133.48869,213.16388,167.1378,50.794765,64.388618,35.271664,2.7882705,191.10997,196.06639,27.323477,14.116362,1210.0863,13.753101,22.653416,107.19952,43.571262,3.8341427,13.219726,40.338799,37.043106,12.223256,44.986908,3.9300802,10.24188,5.2565989,83.334038,6.7846971
